Firm CRD,Investments - CD,Investments - Closed-End Funds,Investments - Commercial Paper,Investments - Corporate Debt,Investments - Equities Exchange,Investments - Equities Foreign,Investments - Equities Otc,Investments - ETFs,Investments - ETNs,Investments - Futures Intangibles,Investments - Futures Tangibles,Investments - Hedge Funds,Investments - Money Markets,Investments - Municipal Securities,Investments - Mutual Funds,Investments - Oil and Gas Partnerships,Investments - Options Commodities,Investments - Options Securities,Investments - Private Equity Funds,Investments - Private Placements,Investments - Real Estate Partnerships,Investments - REITs,Investments - UITs,Investments - US Government Securities,Investments - Variable Annuities,Investments - Variable Life,Investments - Venture Capital Funds,Investments - Warrants,Investments - Other Partnerships,Investment Strategies - Active,Investment Strategies - Alternative Investing,Investment Strategies - Builds Portfolios Of ETFS ETNS,Investment Strategies - Builds Portfolios Of Mutual Funds,Investment Strategies - ESG Impact Investing,Investment Strategies - Focus Cash Management,Investment Strategies - Focus Equities Domestic,Investment Strategies - Focus Equities International,Investment Strategies - Focus Fixed Income Taxable,Investment Strategies - Focus Fixed Income Tax Free,Investment Strategies - Long Term Buy,Investment Strategies - Margin Transactions,Investment Strategies - Option Writing,Investment Strategies - Passive,Investment Strategies - Primarily Recommends Particular Type Of Security,Investment Strategies - Proprietary Model For Security Selection,Investment Strategies - Selects Separate Account Managers,Investment Strategies - Short Sales,Investment Strategies - Short Term Buy,Investment Strategies - Socially Responsible Investing,Investment Strategies - Style Growth,Investment Strategies - Style Value,Investment Strategies - Trading,Investment Strategies - Other,Methods of Analysis - Charting,Methods of Analysis - Cyclical,Methods of Analysis - Fundamental,Methods of Analysis - Technical,Methods of Analysis - Other,Research Methods - Company Press Releases,Research Methods - Corporate Rating Services,Research Methods - Financial Publications,Research Methods - Inspection Of Corporate Records,Research Methods - SEC Filings,Research Methods - Third Party Research,Research Methods - Timing Services,Research Methods - Other Information Sources,7B Private Fund Reporting - Yes or No
338407,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,
338515,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,
336457,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,
337862,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,Yes,,Yes,,,,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
338162,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,Yes,,,,,,,,,
338864,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,
334325,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,
336744,Yes,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,Yes,,,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,
337228,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,,,
337649,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,Yes,
337744,,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,Yes,
338713,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,
333024,,Yes,,Yes,Yes,,,Yes,,,,Yes,,,Yes,,,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,Yes,,Yes,
336688,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,,,,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,,,
337681,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,Yes,,,,,Yes,,Yes,,,,,,Yes,,Yes,
337958,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
338462,Yes,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336559,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,,,,,,,Yes,,Yes,,,Yes,,Yes,,Yes,
337918,Yes,Yes,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,,,,Yes,,,Yes,Yes,,,,,,,,,
332022,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,Yes,,,,,Yes,,,,,,Yes,,,,,
337831,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,
337922,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,
333235,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,,,,Yes,Yes,,,,,,,Yes,,,Yes,Yes,,,,Yes,
334734,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,
335264,,,,Yes,Yes,,,Yes,,,,,,,Yes,,Yes,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
335352,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,
335454,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,
335755,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,
336317,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
337709,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
337890,,,,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,
337990,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,,Yes,,,Yes,,Yes,,Yes,
337998,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,
338012,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
338178,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
338300,,,,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,,,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,
338319,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
338378,,,,,Yes,Yes,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,Yes,,Yes,,Yes,Yes
338431,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
338530,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
338605,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
333688,,,,Yes,Yes,,,Yes,,,,,Yes,,,,,Yes,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,Yes,
334122,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,,,,,,,Yes,,,
334534,,,,,,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,
334751,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,,,,,Yes,,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,
337385,Yes,,,Yes,,Yes,Yes,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,Yes,,,,,,,,,
338122,,,,Yes,Yes,Yes,,Yes,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
338216,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
338282,,,,,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,Yes,,,Yes,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
338288,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
338484,,,,Yes,Yes,Yes,,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,
332998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,Yes,
336563,Yes,,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,
338054,,,,Yes,Yes,,,Yes,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,Yes,,,,,,Yes,,,,,Yes,,,,,Yes,,Yes,,,,,,,,Yes,
338245,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,Yes,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,,,,Yes,Yes,,Yes,,,,,,,,,,
338392,,,,Yes,Yes,,,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,,,,,,,,,,
338645,,,,Yes,Yes,Yes,,Yes,,,,Yes,,,Yes,,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336207,,,,Yes,,,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,
337662,,,,,Yes,Yes,,,,,,,,,Yes,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,Yes,,Yes,,,,,,,,,,,
337747,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,Yes,,Yes,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,
337818,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
338169,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
338385,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,
335363,,,,Yes,Yes,Yes,,Yes,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,,
